Source,Target,Type,Id,Label,timeset,Weight,Source_Type,Target_Type
E005,E073,Undirected,79,,<[-2608070400000.0]>,1,,
E005,E077,Undirected,80,,<[-2617228800000.0]>,1,,
E005,E078,Undirected,81,,<[-2607120000000.0]>,1,,
E005,E081,Undirected,82,,<[-2608243200000.0]>,1,,
E005,E091,Undirected,83,,<[-2608070400000.0]>,1,,
E005,E105,Undirected,84,,<[-2617228800000.0]>,1,,
E005,E109,Undirected,85,,<[-2607120000000.0]>,1,,
E005,E130,Undirected,86,,<[-2608070400000.0]>,2,,
E005,E133,Undirected,87,,<[-2608243200000.0]>,1,,
E005,E134,Undirected,88,,<[-2608070400000.0]>,1,,
E005,E135,Undirected,89,,<[-2608070400000.0]>,1,,
E005,E136,Undirected,90,,<[-2608070400000.0]>,1,,
E005,E142,Undirected,91,,<[-2608243200000.0]>,1,,
E005,E146,Undirected,92,,<[-2608070400000.0]>,1,,
E006,E007,Undirected,93,,<[-2606256000000.0]>,1,,
E006,E008,Undirected,94,,<[-2606256000000.0]>,1,,
E006,E009,Undirected,95,,<[-2606256000000.0]>,1,,
E006,E010,Undirected,96,,<[-2606256000000.0]>,1,,
E006,E015,Undirected,97,,<[-2606256000000.0]>,1,,
E006,E016,Undirected,98,,<[-2606256000000.0]>,1,,
E006,E017,Undirected,99,,<[-2606256000000.0]>,1,,
E006,E018,Undirected,100,,<[-2606256000000.0]>,1,,
E006,E019,Undirected,101,,<[-2606256000000.0]>,1,,
E006,E025,Undirected,102,,<[-2606256000000.0]>,1,,
E006,E027,Undirected,103,,<[-2606256000000.0]>,1,,
E006,E031,Undirected,104,,<[-2606256000000.0]>,1,,
E006,E032,Undirected,105,,<[-2606256000000.0]>,1,,
E006,E033,Undirected,106,,<[-2606256000000.0]>,1,,
E006,E034,Undirected,107,,<[-2606256000000.0]>,1,,
E006,E039,Undirected,108,,<[-2606256000000.0]>,1,,
E006,E040,Undirected,109,,<[-2606256000000.0]>,1,,
E006,E041,Undirected,110,,<[-2606256000000.0]>,1,,
E006,E042,Undirected,111,,<[-2606256000000.0]>,1,,
E006,E043,Undirected,112,,<[-2606256000000.0]>,1,,
E006,E052,Undirected,113,,<[-2606256000000.0]>,1,,
E006,E053,Undirected,114,,<[-2606256000000.0]>,1,,
E006,E054,Undirected,115,,<[-2606256000000.0]>,1,,
E006,E055,Undirected,116,,<[-2606256000000.0]>,1,,
E006,E061,Undirected,117,,<[-2606256000000.0]>,1,,
E006,E062,Undirected,118,,<[-2606256000000.0]>,1,,
E006,E063,Undirected,119,,<[-2606256000000.0]>,1,,
E006,E064,Undirected,120,,<[-2606256000000.0]>,1,,
E006,E065,Undirected,121,,<[-2606256000000.0]>,1,,
E006,E074,Undirected,122,,<[-2606256000000.0]>,1,,
E006,E075,Undirected,123,,<[-2606256000000.0]>,1,,
E006,E076,Undirected,124,,<[-2606256000000.0]>,1,,
E006,E081,Undirected,125,,<[-2606256000000.0]>,1,,
E006,E082,Undirected,126,,<[-2606256000000.0]>,1,,
E006,E085,Undirected,127,,<[-2606256000000.0]>,1,,
E006,E096,Undirected,128,,<[-2606256000000.0]>,1,,
E006,E097,Undirected,129,,<[-2606256000000.0]>,1,,
E006,E098,Undirected,130,,<[-2606256000000.0]>,1,,
E006,E099,Undirected,131,,<[-2606256000000.0]>,1,,
E006,E100,Undirected,132,,<[-2606256000000.0]>,1,,
E006,E101,Undirected,133,,<[-2606256000000.0]>,1,,
E006,E102,Undirected,134,,<[-2606256000000.0]>,1,,
E006,E110,Undirected,135,,<[-2606256000000.0]>,1,,
E006,E111,Undirected,136,,<[-2606256000000.0]>,1,,
E006,E112,Undirected,137,,<[-2606256000000.0]>,1,,
E006,E113,Undirected,138,,<[-2606256000000.0]>,1,,
E006,E116,Undirected,139,,<[-2606256000000.0]>,1,,
E006,E117,Undirected,140,,<[-2606256000000.0]>,1,,
E006,E124,Undirected,141,,<[-2606256000000.0]>,1,,
E006,E125,Undirected,142,,<[-2606256000000.0]>,1,,
E006,E126,Undirected,143,,<[-2606256000000.0]>,1,,
E006,E137,Undirected,144,,<[-2606256000000.0]>,1,,
E006,E138,Undirected,145,,<[-2606256000000.0]>,1,,
E006,E139,Undirected,146,,<[-2606256000000.0]>,1,,
E006,E140,Undirected,147,,<[-2606256000000.0]>,1,,
E006,E147,Undirected,148,,<[-2606256000000.0]>,1,,
E006,E148,Undirected,149,,<[-2606256000000.0]>,1,,
E007,E008,Undirected,150,,<[-2606256000000.0]>,1,,
E007,E009,Undirected,151,,<[-2606256000000.0]>,1,,
E007,E010,Undirected,152,,<[-2606256000000.0]>,1,,
E007,E015,Undirected,153,,<[-2606256000000.0]>,1,,
E007,E016,Undirected,154,,<[-2606256000000.0]>,1,,
E007,E017,Undirected,155,,<[-2606256000000.0]>,1,,
E007,E018,Undirected,156,,<[-2606256000000.0]>,1,,
E007,E019,Undirected,157,,<[-2606256000000.0]>,1,,
E007,E025,Undirected,158,,<[-2606256000000.0]>,1,,
E007,E027,Undirected,159,,<[-2606256000000.0]>,1,,
E007,E031,Undirected,160,,<[-2606256000000.0]>,1,,
E007,E032,Undirected,161,,<[-2606256000000.0]>,1,,
E007,E033,Undirected,162,,<[-2606256000000.0]>,1,,
E007,E034,Undirected,163,,<[-2606256000000.0]>,1,,
E007,E039,Undirected,164,,<[-2606256000000.0]>,1,,
E007,E040,Undirected,165,,<[-2606256000000.0]>,1,,
E007,E041,Undirected,166,,<[-2606256000000.0]>,1,,
E007,E042,Undirected,167,,<[-2606256000000.0]>,1,,
E007,E043,Undirected,168,,<[-2606256000000.0]>,1,,
E007,E052,Undirected,169,,<[-2606256000000.0]>,1,,
E007,E053,Undirected,170,,<[-2606256000000.0]>,1,,
E007,E054,Undirected,171,,<[-2606256000000.0]>,1,,
E007,E055,Undirected,172,,<[-2606256000000.0]>,1,,
E007,E061,Undirected,173,,<[-2606256000000.0]>,1,,
E007,E062,Undirected,174,,<[-2606256000000.0]>,1,,
E007,E063,Undirected,175,,<[-2606256000000.0]>,1,,
E007,E064,Undirected,176,,<[-2606256000000.0]>,1,,
E007,E065,Undirected,177,,<[-2606256000000.0]>,1,,
E007,E074,Undirected,178,,<[-2606256000000.0]>,1,,
E007,E075,Undirected,179,,<[-2606256000000.0]>,1,,
E007,E076,Undirected,180,,<[-2606256000000.0]>,1,,
