source,target,weight,start,end
E007,E113,1,1887-05-31,1887-05-31
E007,E116,1,1887-05-31,1887-05-31
E007,E117,1,1887-05-31,1887-05-31
E007,E124,1,1887-05-31,1887-05-31
E007,E125,1,1887-05-31,1887-05-31
E007,E126,1,1887-05-31,1887-05-31
E007,E137,1,1887-05-31,1887-05-31
E007,E138,1,1887-05-31,1887-05-31
E007,E139,1,1887-05-31,1887-05-31
E007,E140,1,1887-05-31,1887-05-31
E007,E147,1,1887-05-31,1887-05-31
E007,E148,1,1887-05-31,1887-05-31
E008,E009,1,1887-05-31,1887-05-31
E008,E010,1,1887-05-31,1887-05-31
E008,E015,1,1887-05-31,1887-05-31
E008,E016,1,1887-05-31,1887-05-31
E008,E017,1,1887-05-31,1887-05-31
E008,E018,1,1887-05-31,1887-05-31
E008,E019,1,1887-05-31,1887-05-31
E008,E025,1,1887-05-31,1887-05-31
E008,E027,1,1887-05-31,1887-05-31
E008,E031,1,1887-05-31,1887-05-31
E008,E032,1,1887-05-31,1887-05-31
E008,E033,1,1887-05-31,1887-05-31
E008,E034,1,1887-05-31,1887-05-31
E008,E039,1,1887-05-31,1887-05-31
E008,E040,1,1887-05-31,1887-05-31
E008,E041,1,1887-05-31,1887-05-31
E008,E042,1,1887-05-31,1887-05-31
E008,E043,1,1887-05-31,1887-05-31
E008,E052,1,1887-05-31,1887-05-31
E008,E053,1,1887-05-31,1887-05-31
E008,E054,1,1887-05-31,1887-05-31
E008,E055,1,1887-05-31,1887-05-31
E008,E061,1,1887-05-31,1887-05-31
E008,E062,1,1887-05-31,1887-05-31
E008,E063,1,1887-05-31,1887-05-31
E008,E064,1,1887-05-31,1887-05-31
E008,E065,1,1887-05-31,1887-05-31
E008,E074,1,1887-05-31,1887-05-31
E008,E075,1,1887-05-31,1887-05-31
E008,E076,1,1887-05-31,1887-05-31
E008,E081,1,1887-05-31,1887-05-31
E008,E082,1,1887-05-31,1887-05-31
E008,E085,1,1887-05-31,1887-05-31
E008,E096,1,1887-05-31,1887-05-31
E008,E097,1,1887-05-31,1887-05-31
E008,E098,1,1887-05-31,1887-05-31
E008,E099,1,1887-05-31,1887-05-31
E008,E100,1,1887-05-31,1887-05-31
E008,E101,1,1887-05-31,1887-05-31
E008,E102,1,1887-05-31,1887-05-31
